Symbol,Date,Close,High,Low,Open,Volume
IBM,2000-01-03,116.0,116.0,111.875,112.44,10347200
IBM,2000-01-04,112.063,114.5,110.875,113.31,8227800
IBM,2000-01-05,118.25,119.625,112.1875,112.9375,9967000
IBM,2000-01-06,117.25,118.9375,114.8125,118.0,6539200
IBM,2000-01-07,113.5,117.938,110.625,116.54,11857200
IBM,2000-01-10,118.5,119.375,115.375,116.54,8540400
IBM,2000-01-11,119.0,121.125,116.625,117.16,7873400
IBM,2000-01-12,119.5,122.0,118.25,118.9,6798200
IBM,2000-01-13,118.25,121.0,115.75,119.21,8489700
IBM,2000-01-14,119.625,123.313,117.5,120.21,10956600
IBM,2000-01-17,119.625,123.313,117.5,120.21,0
IBM,2000-01-18,115.5625,119.75,115.5625,119.6875,5581600
IBM,2000-01-19,115.5,116.625,112.6875,115.5625,6580400
IBM,2000-01-20,121.875,124.75,120.313,122.26,17782400
IBM,2000-01-21,121.5,123.0,119.938,121.14,7868700
IBM,2000-01-24,118.0625,122.4375,116.5625,122.375,5048800
IBM,2000-01-25,119.125,119.5,116.0,116.05,6937600
IBM,2000-01-26,116.75,119.938,116.0,118.34,4895100
IBM,2000-01-27,113.5,118.438,111.625,117.29,8327600
IBM,2000-01-28,111.563,114.188,110.063,112.07,6669500
IBM,2000-01-31,112.25,112.813,109.625,110.7,6147500
IBM,2000-02-01,110.0,113.438,109.125,111.7,7304700
IBM,2000-02-02,113.5,115.813,110.375,111.32,7707700
IBM,2000-02-03,117.125,117.5,114.063,114.31,6213800
IBM,2000-02-04,115.625,118.438,114.813,117.47,5405800
IBM,2000-02-07,114.125,116.875,113.125,115.3,5779500
IBM,2000-02-08,118.813,119.0,116.188,116.23,5467300
IBM,2000-02-09,117.375,119.75,117.0,118.28,5374700
IBM,2000-02-10,119.125,119.125,116.875,116.98,4446600
IBM,2000-02-11,115.375,119.438,114.563,118.34,5749400
IBM,2000-02-14,116.063,116.75,114.5,115.3,4544000
IBM,2000-02-15,117.125,117.438,113.875,115.18,5174500
IBM,2000-02-16,115.75,117.313,115.25,115.8,3966900
IBM,2000-02-17,116.75,118.875,115.75,115.8,5237500
IBM,2000-02-18,112.625,115.938,111.5,114.55,7673100
IBM,2000-02-21,112.625,115.938,111.5,114.55,0
IBM,2000-02-22,111.0,113.438,108.75,111.32,7654700
IBM,2000-02-23,108.75,110.5,108.5,109.83,7434700
IBM,2000-02-24,110.813,111.0,108.188,108.81,9111700
IBM,2000-02-25,105.75,109.875,104.938,109.21,10311000
IBM,2000-02-28,104.813,106.5,103.938,103.99,8482100
IBM,2000-02-29,102.75,105.563,100.938,104.93,10484800
IBM,2000-03-01,100.25,105.5,100.063,101.38,10807800
IBM,2000-03-02,103.25,105.438,99.5,99.89,11192400
IBM,2000-03-03,109.0,110.0,106.063,106.6,10162300
IBM,2000-03-06,103.063,111.0,101.0,109.27,10747400
IBM,2000-03-07,102.75,107.0,101.688,105.36,10029400
IBM,2000-03-08,106.125,106.875,102.75,103.0,8325600
IBM,2000-03-09,107.563,107.625,104.125,105.86,6333900
IBM,2000-03-10,105.25,109.0,105.0,106.98,7093200
IBM,2000-03-13,107.688,109.0,102.5,103.37,7871000
IBM,2000-03-14,109.625,109.9375,107.5,107.75,4788600
IBM,2000-03-15,107.0,108.25,106.125,106.85,5665900
IBM,2000-03-16,109.0,109.813,106.75,108.34,6622500
IBM,2000-03-17,110.0,111.688,107.625,108.25,8857300
IBM,2000-03-20,112.75,113.375,109.938,110.0,6563500
IBM,2000-03-21,113.5,114.688,111.938,112.13,6771600
IBM,2000-03-22,114.25,115.375,113.875,114.5,6137800
IBM,2000-03-23,115.25,115.875,111.625,115.18,6492400
IBM,2000-03-24,121.5,122.25,115.063,115.37,12124300
IBM,2000-03-27,126.875,128.25,124.625,125.0,11862900
IBM,2000-03-28,122.5,127.0,122.063,124.99,8163000
IBM,2000-03-29,119.5,122.438,118.5,121.57,7311200
IBM,2000-03-30,122.5,123.0,118.688,118.87,9157800
IBM,2000-03-31,118.0,123.75,117.063,121.88,8015000
IBM,2000-04-03,122.0,122.375,119.438,120.0,7715600
IBM,2000-04-04,121.188,126.938,115.063,120.77,16667700
IBM,2000-04-05,123.625,125.875,119.75,119.77,8444800
IBM,2000-04-06,122.75,128.125,122.625,122.75,8887400
IBM,2000-04-07,123.125,125.688,121.5,122.75,5380300
IBM,2000-04-10,122.125,125.375,121.563,124.0,5507300
IBM,2000-04-11,119.0,121.625,117.75,120.89,7735900
IBM,2000-04-12,112.4375,121.625,111.875,121.625,7236700
IBM,2000-04-13,110.625,114.313,110.0,111.82,8236400
IBM,2000-04-14,104.0,112.625,102.875,109.8125,9251400
IBM,2000-04-17,111.875,112.25,103.313,103.87,9969500
IBM,2000-04-18,115.125,115.125,110.0625,115.125,6438700
IBM,2000-04-19,105.0,109.75,102.813,109.09,14674400
IBM,2000-04-20,104.0,105.25,102.063,104.37,10633300
IBM,2000-04-21,104.0,105.25,102.063,104.37,0
IBM,2000-04-24,106.5,107.188,101.25,101.38,8523100
IBM,2000-04-25,112.125,112.75,101.25,102.0,8146900
IBM,2000-04-26,110.5,113.938,109.0,111.82,6182800
IBM,2000-04-27,110.438,113.125,108.688,108.84,6317100
IBM,2000-04-28,111.5,112.688,110.125,111.32,4888600
IBM,2000-05-01,111.875,113.188,110.438,111.82,4196000
IBM,2000-05-02,111.375,113.625,110.688,111.0,4085000
IBM,2000-05-03,108.125,111.125,106.563,109.83,5543800
IBM,2000-05-04,107.625,109.188,107.188,108.47,3631300
IBM,2000-05-05,107.875,109.625,106.438,106.62,4695100
IBM,2000-05-08,109.75,110.375,107.625,108.06,4826900
IBM,2000-05-09,109.0,110.625,108.25,110.5,4311500
IBM,2000-05-10,103.8125,105.6875,102.125,105.5,8482400
IBM,2000-05-11,104.438,107.5,103.188,103.37,8106199
IBM,2000-05-12,104.438,105.75,103.25,103.75,5599700
IBM,2000-05-15,104.188,104.875,102.0,103.37,5905400
IBM,2000-05-16,109.0,109.25,105.0,105.12,7265800
IBM,2000-05-17,107.875,108.875,106.125,106.85,5524500
